pos,attn_mass
151,0.0016905166
152,0.0016785405
153,0.001686467
154,0.0016766461
155,0.0016686189
156,0.0016537436
157,0.0016082838
158,0.0016161462
159,0.0016239138
160,0.0016282218
161,0.0016236072
162,0.0016228459
163,0.0016121558
164,0.0015874391
165,0.0015863938
166,0.001575334
167,0.0015515109
168,0.001550165
169,0.001548231
170,0.0015659014
171,0.001549295
172,0.0015529972
173,0.0015368313
174,0.001515504
175,0.0014802166
176,0.0014563579
177,0.0014312271
178,0.0014326286
179,0.001414897
180,0.0014373945
181,0.0014300921
182,0.0014199098
183,0.0014211148
184,0.0014338674
185,0.0014457902
186,0.0014354137
187,0.0014470813
188,0.001422433
189,0.0013973737
190,0.0013891889
191,0.0013807055
192,0.0013890949
193,0.001379185
194,0.0013519076
195,0.0013607091
196,0.0013725332
197,0.0013665662
198,0.0013594833
199,0.0013369446
200,0.0013428122
201,0.0013209457
202,0.0013220186
203,0.0013183155
204,0.0013173476
205,0.0013275604
206,0.0013212336
207,0.0013129564
208,0.0013078249
209,0.0013091732
210,0.001282664
211,0.0012795497
212,0.0012554803
213,0.0012429357
214,0.0012437529
215,0.0012462566
216,0.0012298133
217,0.0012340364
218,0.001221795
219,0.001205332
220,0.0012001101
221,0.0011879385
222,0.0011954809
223,0.0011933504
224,0.0011683004
225,0.0011692509
226,0.0011476935
227,0.0011473201
228,0.0011676542
229,0.0011606023
230,0.0011612218
231,0.0011504461
232,0.0011156123
233,0.0010826288
234,0.0010669422
235,0.001072749
236,0.0010652071
237,0.001056293
238,0.0010429856
239,0.0010531255
240,0.0010515314
241,0.0010404341
242,0.0010411002
243,0.0010272741
244,0.0010277918
245,0.0010246041
246,0.0010310505
247,0.0010414976
248,0.0010466217
249,0.0010377046
250,0.0010256071
251,0.001000413
252,0.0009998814
253,0.0009845331
254,0.0009990928
255,0.0009974978
256,0.0009792532
257,0.0009785044
258,0.0009615029
259,0.0009626351
260,0.000950092
261,0.0009601751
262,0.00096498826
263,0.0009644031
264,0.0009505089
265,0.0009656875
266,0.0009445017
267,0.00095446943
268,0.00095015374
269,0.000928918
270,0.0009280908
271,0.00093042105
272,0.00093669124
273,0.0009344255
274,0.0009088248
275,0.0008971541
276,0.0008790812
277,0.0008652927
278,0.0008720776
279,0.00088366255
280,0.0008602714
281,0.0008438291
282,0.0008402345
283,0.00083926995
284,0.00083716476
285,0.0008467705
286,0.0008421977
287,0.0008512813
288,0.00084034627
289,0.00081468734
290,0.0008232021
291,0.0008121531
292,0.00080202555
293,0.0007997673
294,0.0007846865
295,0.0007898879
296,0.00076947093
297,0.00078130496
298,0.00077266834
299,0.0007733245
300,0.0007567216
301,0.0007493726
302,0.0007452661
303,0.0007483095
304,0.0007622549
305,0.00076582824
306,0.0007589437
307,0.00074762735
308,0.00072766194
309,0.0007225811
310,0.0007184538
311,0.00070187123
312,0.0006921723
313,0.0006869155
314,0.00067496387
315,0.0006732939
316,0.0006686206
317,0.0006704657
318,0.0006631273
319,0.00065617164
320,0.00065260584
321,0.0006603233
322,0.0006611247
323,0.0006685757
324,0.0006563508
325,0.00065313186
326,0.0006429912
327,0.0006471391
328,0.0006540259
329,0.00065929705
330,0.00065555924
331,0.0006521635
332,0.0006389848
333,0.00063079386
334,0.00062703225
335,0.0006168212
336,0.0006158416
337,0.0006213031
338,0.0006225039
339,0.00061500265
340,0.0006201995
341,0.0006196757
342,0.00062167697
343,0.00061648025
344,0.0006036851
345,0.0006026201
346,0.00060817867
347,0.0006025936
348,0.0005999089
349,0.00061636517
350,0.0005939898
351,0.0005896342
352,0.0005838674
353,0.00059310044
354,0.00057878386
355,0.0005733963
356,0.0005562116
357,0.0005498952
358,0.00054265663
359,0.0005328159
360,0.0005280318
361,0.00053917273
362,0.00053718843
363,0.00053454546
364,0.000527479
365,0.00052943046
366,0.00053552585
367,0.0005245967
368,0.00049461424
369,0.0005007362
370,0.00048602303
371,0.00047923092
372,0.0004894317
373,0.00050315744
374,0.0004956863
375,0.0004764885
376,0.00046565593
377,0.00045557626
378,0.0004490959
379,0.00045496607
380,0.000464882
381,0.00046822778
382,0.0004614391
383,0.00045248328
384,0.00045808378
385,0.0004629311
386,0.00045676035
387,0.0004594487
388,0.0004355725
389,0.00043535937
390,0.00042270563
391,0.00042685712
392,0.00042900824
393,0.00042352045
394,0.00040807502
395,0.00040029697
396,0.0004095729
397,0.00041675978
398,0.00041286633
399,0.0004061115
400,0.0004030963
401,0.00038573064
402,0.00037366094
403,0.00037332275
404,0.00038472464
405,0.00038555387
406,0.00038859082
407,0.00038347548
408,0.00037392808
409,0.0003767404
410,0.0003528779
411,0.00035310094
412,0.0003349469
413,0.00032757333
414,0.0003177059
415,0.00030802737
416,0.00030132162
417,0.00029939722
418,0.0002983213
419,0.00029227277
420,0.00028296304
421,0.00028183195
422,0.00028448473
423,0.00028795042
424,0.00028269604
425,0.0002810566
426,0.00027301422
427,0.00026925257
428,0.00027258776
429,0.00027214276
430,0.00027121336
431,0.00026981236
432,0.000264188
433,0.0002525436
434,0.0002485148
435,0.00024525533
436,0.00024129865
437,0.00023958868
438,0.00024396808
439,0.00024702214
440,0.00024864642
441,0.00026225633
442,0.00025432644
443,0.0002543536
444,0.00024679338
445,0.00023963243
446,0.00022654193
447,0.00023467482
448,0.00024282296
449,0.00023893348
450,0.0002392878
451,0.00022180463
452,0.00021726589
453,0.00021029533
454,0.00022031771
455,0.00022022336
456,0.0002100846
457,0.00020217858
458,0.00019073694
459,0.00019423162
460,0.00019161325
461,0.000206387
462,0.000210563
463,0.00020940304
464,0.0002104443
465,0.00020273506
466,0.00021268717
467,0.00019832033
468,0.00019664786
469,0.0001890437
470,0.00016697339
471,0.00016504334
472,0.00016740126
473,0.00017389796
474,0.000178841
475,0.00016940756
476,0.00015312392
477,0.00013599753
478,0.00013418662
479,0.00013884109
480,0.00015440282
481,0.00017168897
482,0.0001630861
483,0.0001581001
484,0.00015824867
485,0.00016384297
486,0.00015571172
487,0.00015961476
488,0.00013894986
489,0.00013878307
490,0.00012891334
491,0.000110371744
492,0.00011102214
493,0.00010146433
494,9.330222e-05
495,8.923465e-05
496,8.0304686e-05
497,8.476388e-05
498,9.83926e-05
499,9.089343e-05
500,8.779029e-05
501,7.4746014e-05
502,6.6508954e-05
503,6.653599e-05
504,7.0396454e-05
505,8.117966e-05
506,8.246755e-05
507,8.678342e-05
508,7.1786846e-05
509,7.021019e-05
510,5.3527612e-05
511,3.645973e-05
